"DateTimePST","DateTimeUTC","Stage","WT","YI","VB","WTmn","WTmx","WTvr","TW","LSU","TS_slot","TS_smp_code","TS_thr_code","IBatt","ISolar","Stg_Qual","TBatt","VLoad","VSolar","file_name"
2020-04-01 14:30:00,2020-04-01 22:30:00,0.21,3,0.1,12.6,1,22,4.9,0.7,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 14:45:00,2020-04-01 22:45:00,0.21,2,-0.1,12.6,1,32,16.2,0.7,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 15:00:00,2020-04-01 23:00:00,0.21,2,-0.1,12.6,1,26,12.8,0.7,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 15:15:00,2020-04-01 23:15:00,0.21,2,-0.1,12.6,1,14,3.8,0.7,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 15:30:00,2020-04-01 23:30:00,0.21,2,-0.3,12.6,1,10,1.6,0.7,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 15:45:00,2020-04-01 23:45:00,0.21,3,-0.3,12.6,1,19,7.9,0.7,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 16:00:00,2020-04-02 00:00:00,0.21,2,-0.3,12.6,1,21,5.4,0.7,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 16:15:00,2020-04-02 00:15:00,0.21,2,-0.3,12.6,1,23,7.8,0.7,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 16:30:00,2020-04-02 00:30:00,0.21,2,-0.3,12.6,1,31,12,0.8,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 16:45:00,2020-04-02 00:45:00,0.21,2,-0.3,12.6,1,70,51.2,0.8,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 17:00:00,2020-04-02 01:00:00,0.21,2,-0.5,12.6,1,7,1.7,0.8,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 17:15:00,2020-04-02 01:15:00,0.21,2,-0.3,12.6,1,52,36,0.8,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 17:30:00,2020-04-02 01:30:00,0.21,2,-0.5,12.6,1,28,9.3,0.8,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 17:45:00,2020-04-02 01:45:00,0.21,2,-0.5,12.6,1,41,26.6,0.8,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 18:00:00,2020-04-02 02:00:00,0.2,2,-0.5,12.6,1,10,2.9,0.8,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 18:15:00,2020-04-02 02:15:00,0.21,2,-0.6,12.6,1,37,15.6,0.8,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 18:30:00,2020-04-02 02:30:00,0.21,2,-0.6,12.6,1,31,23.6,0.8,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 18:45:00,2020-04-02 02:45:00,0.2,3,-0.6,12.6,2,31,14.1,0.8,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
